country,year,control_of_corruption,current_account_balance_pct_gdp,export_concentration_hhi,export_growth,external_debt_pct_gni,fdi_net_inflows_pct_gdp,gdp_growth,gdp_per_capita,gdp_per_capita_growth,global_gold_price,global_high_yield_spread,global_oil_price,global_usd_index,government_debt_pct,gross_capital_formation_pct_gdp,inflation_cpi,natural_resource_rents_pct_gdp,political_stability,regulatory_quality,rule_of_law,secondary_school_enrolment,vulnerable_employment,youth_unemployment
CZE,2016,0.6247694,1.759,0.124,4.13744263673649,,5.47566421423918,2.58087013921376,18753.9686718096,2.3840542545404,119.36261924864752,,43.29,113.0665,36.232,25.0750046974725,2.01,0.310276297011828,1.0617374,69.7011264,1.0846322,103.015083312988,14.020032806256,10.488
CZE,2017,0.7473855,1.541,0.126,7.10275452803137,,5.07066240955503,5.17356529967881,20913.197632212,4.8945501951199,119.70533874025382,,50.8,112.8101,33.782,25.0897410946251,2.365,0.372292874562504,1.0199948,72.8485894,1.13083,102.204696655273,13.9833291322777,7.936
CZE,2018,0.6140583,0.392,0.127,3.50177596746688,,3.30353998283407,2.83030588267866,23705.9329811299,2.48698770067625,120.1730401916504,,65.23,112.0038,31.678,25.6426079021172,2.021,0.389418621280193,1.0436452,72.9466892,1.0403101,101.514892578125,13.8169342651411,6.714
CZE,2019,0.6034081,0.332,0.129,1.31157012923498,,4.18705737619001,3.56577658128261,24062.7190013343,3.15874802851988,131.4715934540646,,56.99,115.7333,29.552,26.171850655873,3.208,0.399790319341053,1.0363667,72.550776,1.116394,100.21556854248,13.7726275771591,5.615
CZE,2020,0.6341668,1.759,0.128,-8.51612580418225,,3.39114066226469,-5.30487955463876,23472.8915454417,-5.53491969820153,166.60730119735476,,39.16,117.774,36.883,24.7302051809802,2.285,0.416571327081177,0.9082209,72.0527635,1.1245932,99.3292617797852,14.0265417271519,7.936
CZE,2021,0.7300087,-2.056,0.116,8.15308945199496,,4.43029524586196,4.02901832055149,27696.4619527544,5.93106968937249,168.30067705253205,,68.14,113.1051,40.692,28.1285338444502,6.613,0.394999591152656,0.9968819,74.4255721,1.1669833,102.089942932129,13.2478426636467,8.134
CZE,2022,0.8031753,-4.685,0.119,5.14899737013197,,3.02937517288668,2.8471706583814,28282.2236715857,1.24409473190281,167.90513914799786,,94.9,120.698,42.52,31.0333010301464,15.759,,0.9957469,75.8062102,1.1392733,102.935562133789,13.9586071672468,6.72
CZE,2023,0.8499213,-0.111,0.134,2.34796705681073,,3.4462419046487,0.0475803308973752,31761.5944102491,-1.71985869478267,180.44987982177733,4.087062146892655,77.58,120.2663,42.449,28.2189210871769,6.879,,1.0704669,74.222575,1.1605869,97.6154174804688,14.0228953824832,8.507
CZE,2024,0.9310659,1.755,0.141,1.52528988187177,,3.76083530894919,1.23308611983484,31823.3078290564,0.852606650391238,221.0156972208821,3.15,76.63,122.893,42.988,26.3044257488365,2.884,,0.9719006,74.2917232,1.1881307,,13.6300707691189,9.2
DEU,2010,1.6517124,5.742,0.09,14.1045298596218,,2.48154528887853,4.13463778522758,42396.9665976293,4.29429269623485,119.99545832174232,,79.48,93.0541,81.009,19.5310600093299,1.848,0.195522369883906,0.9300893,77.2860994,1.6169218,104.891357421875,6.75517744752431,10.416
DEU,2011,1.6649059,6.29,0.09,7.90277264674211,,2.55089499875415,3.75796884489337,47630.9761883572,5.69928311502757,153.18591263180687,,94.88,88.7767,78.458,21.2669872693317,2.348,0.228554942117436,0.895856,78.0864769,1.5919362,105.34651184082,7.02180025751223,8.927
DEU,2012,1.6570716,7.188,0.092,2.59225689681315,,1.8196411156431,0.463512036709204,44718.0159214069,0.275091009850499,161.96787185362544,,94.05,91.6361,79.804,19.4724714926695,2.086,0.1648561931117,0.9668035,78.5731908,1.6179786,104.442237854004,6.84590019039311,8.119
DEU,2013,1.6261055,6.708,0.092,0.474457033007482,,1.76515036525359,0.396995583779145,47206.8353514242,0.12338547838786,136.24820703149317,,97.98,92.7611,77.435,19.7883815690324,1.328,0.12505562713457,0.9567087,78.1669695,1.6271661,103.935333251953,6.52421225849841,7.825
DEU,2014,1.7082916,7.233,0.096,4.33779904633182,,0.437762571704246,2.18018602168017,48959.5991203133,1.75510660613023,121.88517901052042,,93.17,95.5876,74.52,20.139488753447,0.202,0.0973612592499159,1.067265,79.4162111,1.7365653,103.303871154785,6.31938811783888,7.612
DEU,2015,1.7233648,8.105,0.104,4.87317167966323,,1.82239938063641,1.66300602334775,41929.7549110722,0.786705244581157,111.18462156014614,,48.66,108.1696,71.216,19.4978020945699,0.201,0.0760120087289006,0.8311441,80.7471408,1.739872,102.192413330078,6.15334219504752,7.328
DEU,2016,1.763112,8.907,0.104,1.98715322717844,,1.64365840117303,2.22222216259371,42948.9381932694,1.40038690062336,119.36261924864752,,43.29,113.0665,68.282,19.7122567843741,1.707,0.0642202510440344,0.7945337,81.5087584,1.6848367,100.852310180664,6.01011095191089,7.079
DEU,2017,1.8222612,8.067,0.098,3.85750851872689,,2.88914588414184,2.797906720551,45553.9341495339,2.4144426920242,119.70533874025382,,50.8,112.8101,64.026,20.6909762954118,1.579,0.0682636663146081,0.7022243,81.5900917,1.7028849,101.095642089844,5.81126821381395,6.77
DEU,2018,1.9178103,8.428,0.093,2.55827209805651,,4.00082875273687,1.13569604599849,48916.1686612154,0.832212527052548,120.1730401916504,,65.23,112.0038,60.809,21.6503641494105,1.846,0.0847654608298758,0.8239013,81.3517051,1.715527,100.837303161621,5.54823982417323,6.22
DEU,2019,1.8768449,7.878,0.091,2.06947482390558,,1.9056930139782,0.977734697038784,47656.199739747,0.750266426253219,131.4715934540646,,56.99,115.7333,58.701,21.381259046499,1.368,0.0926260316690242,0.7271723,81.1243821,1.7076622,101.152557373047,5.29598518556429,5.859
DEU,2020,1.8713077,6.32,0.085,-9.48587967586583,,4.48523547812751,-4.13191443239947,47394.8734504469,-4.21020011825779,166.60730119735476,,39.16,117.774,68.035,21.7290304632077,-0.596,0.0767453976974352,0.6840532,79.5011339,1.6271231,101.307800292969,5.04590467990138,7.862
